JP	KR
「マオ、ついでだからガーシュ卿に塩田の相談でもしていけ。増産体制を整えているところだから、取引量が増えそうだ」	"마오, 김이니까 가슈 경에 염전의 상담이라도 한다.증산 태세를 갖추고 있는 곳이니까, 거래량이 늘어날 것 같다"
　すると彼は眉をぴくりと動かし、ふてぶてしい笑みを浮かべた。	그러자 그는 눈썹을 꿈틀하고 움직이고 뻔뻔스러운 미소를 지었다.
「おや、いいんですか？」	"참, 좋나요?"
「裏の裏まで知っている貴殿に裏切られると困るからな。ただし不当に利益を独占したら、頭からまるかじりだ」	" 숨겨진 이면까지 아는 당신에게 배신당하면 곤란하니까.다만 부당하게 이익을 독점하면 머리부터 꼬박 빼먹다"
　マオはわざとらしく肩をすくめてみせる。	마오는 일부러 듯 어깨를 움츠리고 있다.
「恐ろしいお方ですね、黒狼卿は」	" 무서운 분이군요, 흑랑 경은"
　そりゃあもう。	그건 벌써.
　するとマオはふと思い出したように、こう切り出した。	그러자 마오는 문득 생각 난 듯, 이런 말을 꺼냈다.
「先ほどアイリア様にも報告したんですが、北部の噂ではエレオラ皇女がウォーンガングの駐留軍を動かそうとしているそうです」	"아까 아이 코리아들에게도 보고했는데 북부의 소문으로는 에레오라 아들이 원 강그의 주둔군을 움직이려고 한답니다"
「本当か？」	"정말?"
　ここで焦って戦争をするほど、彼女も愚かではないと思うんだが。	여기서 초조해서 전쟁을 할 정도로 그녀도 어리석지 않다고 생각하는데.
　俺が知る限り、彼女の配下にはロルムンド正規軍がほとんどいない状態だ。かといってミラルディア人同士を戦わせると、何が起きるかわからない。	내가 아는 한 그녀의 부하에는 롤뭉도 정규군이 거의 없는 상태이다.그렇다고 미라 루디아인끼리 싸우게 하면 무슨 일이 일어날지 모른다.
　ここでの軍事行動は、あまり良い策とは思えない。	여기에서의 군사 행동은 별로 좋은 책과 같지는 않다.
　しかしマオは真剣な表情で続ける。	그러나 마오는 진지한 표정으로 계속한다.
「保存食や塩などの納入で、それらしい動きがありました。私に調べられる範囲ではそれが限界でしたので、それ以上はそちらで」	"보존 음식이나 소금 등의 납품, 그럴 듯한 움직임이 있었습니다.나에게 뒤지는 범위에서는 그것이 한계였기 때문에 그 이상은 그쪽에서 "
　この世界の軍隊は兵站が未発達だが、エレオラ皇女は兵站を重視している。だからこうして流通を見張っていれば、動きを察知できることもある。	이 세상의 군대는 병참이 발달되지 않지만 에레오란 왕녀는 병참을 중시하고 있다.그래서 이렇게 유통을 감시하고 있으면 움직임을 알아차릴 수 있다.
「わかった、ウォーンガング太守のドネーヴァ殿とは面識がある。念のため、ヴィルハイム太守経由で聞いてみよう」	" 알았다, 원 강그 태수의 도네ー우아도 노와는 면분이 있다.노파심, 빌 하임 태수 경유에서 물어보세요"
　俺が会話を切り上げて室内を見回すと、たいして広くもない執務室は人間と魔族がごちゃごちゃと入り乱れておやつを食べていた。	내가 대화를 마치고 실내를 둘러보면 그다지 넓지도 않는 집무실은 인간과 마족이 어수선하게 뒤섞이고 간식을 먹고 있었다.
　骸骨の魔術師と人間の魔術師が互いの知識を交換し、竜人族の技官が人間の太守と一緒に新しい設備の相談をしている。	해골의 마술사와 인간의 마술사가 서로의 지식을 교환하고 류진족의 기관이 인간의 태수와 함께 새로운 설비의 상담을 하고 있다.
　あの日、俺がこの館の窓から飛び込んだときには、こんな日が来るとは思ってもみなかったな。	그날 내가 이 집 창문으로 뛰어들었을 때에는 이런 날이 올 줄은 몰랐구나.
　俺の仕事がぜんぜん片づかないのは困るが、俺の執務室で各部署の情報交換や交流が行われているのも事実だ。	내 일이 전혀 끝나지 않는 것은 곤란하지만 나의 집무실에서 각 부서의 정보 교환 및 교류가 이뤄지는 것도 사실이다.
　おかげで俺が北部でコスプレ行脚をしている間も、南部連邦はどんどん発展していく。	덕분에 내가 북부에서 코스프레 행보를 하는 동안에도, 남부 연방은 계속 발전한다.
　そう考えると、これもなかなか悪くないかもしれない。	그러고 보면 이것도 웬만한 없을지도 모른다.
「ヴァイト様、考え事してないで食べましょう！」	"우아이토님 생각하지 말고 먹읍시다!"
　犬人兵たちに服の裾を引っ張られ、俺は我に返る。	개인 병사들에게 옷 자락을 잡고 나는 나에게 돌아가다.
「ん、ああ。そうだな」	"응, 아아.그렇구나"
「はい、ケーキどうぞ！」	"네, 케이크 드세요!"
「ありがとう」	" 고맙습니다"
　ケーキの皿を受け取った後、俺はふと気づく。	케이크 접시를 받은 뒤 나는 문득 깨닫는다.
　いつ入ってきた、お前たち。	언제 들어온 너희들.
　　　　＊　　　　　　＊	＊ ＊
「エレオラ戦記・その６」	"에레 오라 전기·6"
　北東のクラウヘンに戻っていたエレオラ皇女は、ボルシュ副官からの報告を聞いて、小さくうなずいた。	북동쪽 크라우 이상으로 돌아갔던 에레오란 왕녀는 보르 슈 부관의 보고를 듣고 작은 고개를 끄덕였다.
「済まないな、ボルシュ。こんな任務は嫌だろう？」	"미안하네 보르 슈.이런 임무는 싫겠지?"
　すると歴戦の副官は苦笑しつつ、敬礼してみせた。	한다고 역전의 부관은 쓴웃음을 지고 경례했다.
「任務とニンジンの好き嫌いは許されないと、殿下に常々申し上げて参りましたからな。私も嫌とは申せません」	"임무와 당근의 호불호는 허용되지 않으면 전하께 항상 말씀 드리고 왔습니다~.나도 싫다고는 하지 않습니다"
「子供の頃の話を織り交ぜて、私を困惑させるのはよせ」	" 어린 시절의 이야기를 섞어 나를 당황시키는 것은 그만두었다"
　苦笑したエレオラに、ボルシュが真顔で尋ねる。	쓴웃음을 진 에레 내에 보르시가 정색을 하고 묻는다.
「しかし殿下、この程度では不十分ではありませんか？」	"그러나 전하, 이 정도로는 부족 아닌가요?"
「いや、あまりわざとらしくすれば真意を看破される」	"아니, 별로 부자연스럽게 하면 진의를 간파되다"
　エレオラ皇女は食糧の購入計画書を処理済みの書類箱に投げ込むと、不敵に微笑んだ。	에레 오라 왕녀는 식량 구입 계획서를 처리한 서류 상자에 던지면 당돌하게 웃는다.
「あの鼻の良い黒狼卿のことだ、この程度の動きでも見逃すまい。食糧の流れとロルムンド式の兵站を結びつけるぐらいは造作もないはずだ」	"그 코의 좋은 흑랑 경의 것이다, 이 정도의 움직임이라도 놓치지 않기.식량의 흐름과 롤뭉도식의 병참을 연결하는 정도는 문제도 없다"
「殿下はずいぶんと彼を高く評価しておいでですな」	"전하께서는 무척이나 그를 높이 평가하고 오로군"
「あの男、ミラルディアの軍人としては最も洗練されている。些細な兆候から次の一手を読みとるだろう」	"그 남자 미라 루디아의 군인으로선 가장 세련되고 있다.사소한 징후로 다음 한 수를 알아챌 것"
　ボルシュはそれにうなずいた。	볼슈는 그것에 고개를 끄덕였다.
「確かに油断のならない相手です。判明している限り、魔王軍はロルムンド軍に匹敵する近代化を遂げていますからな」	"확실하게 방심할 수 없는 상대입니다.판명되어 있는 한 마왕 군은 롤뭉도군에 맞먹는 근대화를 이루고 있습니다~"
「そうだ。元老院の寝ぼけた騎士団とは訳が違うぞ」	" 그렇다.원로원의 멍청한 기사단과는 사정이 아니라고"
　そう言ってから、エレオラ皇女はフッと自嘲気味に笑う。	그러면서 에레오란 왕녀는 훗 하고 자조하는 경향이 웃는다.
「しかし今は手勢が少ないので情勢がつかめん。危険な状態だというのは調べずともわかるがな」	"그러나 지금은 수병이 적기 때문에 정세가 찾아.위험한 상태라는 건 조사하지 않아도 알겠는데"
　魔撃大隊は体調不良者が続出していて、太守の監視任務などに支障が出ていた。	마귀 공격 대대는 컨디션 불량자가 속출하고 있어 태수의 감시 임무 등에 차질이 빚어지고 있었다.
　もともと諜報活動などは不慣れな部隊でもあり、エレオラ皇女は部下たちに無理をさせないことにしている。	원래 첩보 활동 등은 낯선 부대이자 에레오라 아들은 부하들에게 무리하지 않기로 했다.
「ところで予備大隊のほうは、露見しないよう進めているか？」	"그런데 예비 대대는 드러나지 않게 진행하고 있는가?"
「そちらは極秘裏に行っております。物資の動きも二重に偽装していますので、さすがに気づかれないかと」	"그쪽은 극비리에 가고 있습니다.물자의 움직임도 이중으로 위장 하고 있으므로 역시 눈치 채지 않을까"
「そうあってほしいものだな」	"그래서 원하는 것이구나"
　エレオラ皇女は窓の外をちらりと眺める。	에레 오라 왕녀는 창 밖을 흘깃 바라보다.
　ミラルディアの夏が近づきつつあった。	미라 루디아의 여름이 다가오고 있었다.
「これから辛い季節だな、ボルシュ」	"앞으로 매운 계절이다, 보르 슈"
「そうですな。この暑さは堪えますが、半裸で行軍という訳にもいきません」	" 그렇구나.이 더위는 참는데 반라로 행군 할 수도 없습니다"
　暑さが増すにつれて、ロルムンド兵たちの体調はますます悪くなっている。異国の気候と絶え間ない緊張が、彼らを疲弊させているのだ。	더위가 커지면서 롤뭉도병들의 몸은 점점 나빠지고 있다.이국의 기후와 끊임 없는 긴장감이 그들을 피폐시키고 있는 것이다.
　そして気候よりも重大な懸念事項があった。	그리고 기후보다 중대한 우려 사항이 있었다.
「それに外交力の差も出てきている。表向きは平穏だが、もはや北部太守も味方とは言いがたい」	"그것에 외교력의 차이도 나오고 있다.겉으로는 평온하지만 이제 북부 태수도 아군이라고 할 수는 없다"
「評議会からの切り崩し工作ですか」	"평의회로부터 헐공작인가요 "
「そうだ。このままでは北部太守たちが公然と反旗を翻しかねん」	" 그렇다.이대로는 북부 태수들이 공공연히 반기를 들 수 있어"
　エレオラに残された猶予は、もうほとんどなかった。	에레 내에 남은 유예는 이제 거의 없었다.
　一方その頃。	한편 그 무렵.
　北部の宗教都市イオロ・ランゲは、ミラルディアにおける輝陽教の聖地だ。ここから発せられる輝陽教の布告は、極めて大きな影響力を持つ。	북부의 종교 도시인 이오-러·랑게는 미랄디아의 휘양교의 성지이다.여기에서 발산되는 휘양교의 포고는 매우 큰 영향력을 갖는다.
　イオロ・ランゲ大聖堂の中にある議場で、リューンハイト司祭のユヒトは深々と一礼した。	이오로·랑게 대성당 안에 있는 방에서 류ー은 하이트 사제의 유 사람은 깊숙이 머리를 숙였다.
「御清聴に感謝いたします」	"번거로이 말씀에 감사 드립니다"
　北部の司祭たちがそれに応じて拍手する。	북부의 사제들이 그에 따르고 박수 치고 있다.
　ここでは数時間に渡る白熱した議論とユヒト司祭の熱弁の末、ようやく話がまとまったところだ。	여기에서는 몇시간 동안 열띤 논의와 유히고 사제의 열변의 끝에 겨우 이야기가 성사된 곳이다.
　ミラルディア輝陽教を束ねる最高司祭オベニウスは、何度もうなずきながら口を開いた。	미랄디아 휘양교를 묶은 최고 사제 오베니우스는 몇번이나 고개를 끄덕이며 입을 열었다.
「ユヒト殿のお話に私も感動しました。最初に言ったことはお詫びいたします」	"유 인간님의 말씀에 나도 감동했습니다.처음에 했던 것은 사과 드립니다"
　それから彼は議場の長テーブルの上に、二冊の教典を置いた。	그리고 그는 의장의 긴 테이블 위에 두권의 경전을 뒀다.
　分厚いほうがロルムンド輝陽教の教典で、薄いほうがミラルディア輝陽教の教典だ。	두꺼운 게 롤뭉도 휘양교의 교전에서 얇은 게 미랄디아 휘양교의 경전이다.
　逃亡奴隷たちがミラルディアに持ち込んだ教典は、本国にあったものの一部でしかない。	도망 노예들이 미랄디아에 들여온 교전은 본국에 있던 것의 일부분에 불과하다.
「エレオラ皇女から頂いた教典を何度も拝読しましたが、私はこれに感銘を受けませんでした。自分が信じてもいない教えを、どうやって皆に説けましょうか」	"에레 오라 왕녀가 주신 교전을 몇번이나 읽었지만 저는 이에 감명을 받지 않았습니다.자신이 믿지도 않은 가르침을 어떻게 모두에게 말할 수 있다요?"
　北部民の先祖たちは、この不慣れな逃亡先で団結する必要があった。敵は魔物や自然そのものだ。身内で争っている余裕はない。	북부민의 조상들은 이 낯선 도피처에서 단결할 필요가 있었다.적은 마물과 자연 그 자체이다.집안에서 싸우고 있을 여유는 없다.
　その結果、ミラルディア輝陽教は横のつながりを重視する宗派へと変貌を遂げた。	그 결과 미랄디아 휘양교는 횡적 연계를 중시하는 종파로 변모를 이룩했다.
　一方、為政者の統治の道具となっているロルムンド輝陽教は、反乱を最大の脅威とみなしている。そのため、縦のつながりを重視する宗派だ。	한편 위정자의 통치의 도구가 되고 있롤뭉도 휘양교는 반란을 최대의 위협으로 간주했다.그래서 종적 관계를 중시하는 종파이다.
　教典の解釈などには、両者の違いがはっきりと現れていた。	교전의 해석 등에는 양자의 차이가 분명히 나타나고 있었다.
　オベニウス最高司祭は穏やかに微笑む。	오베니우스 최고 사제는 조용히 웃는다.
「ユヒト殿のお言葉は胸に染み渡りました。教典の解釈として矛盾はありませんし、何よりミラルディア輝陽教の精神を感じます」	"유 인간님의 말씀은 가슴에 사무치는 건넜습니다.교전의 해석으로 모순이 아니고 무엇보다 미랄디아 휘양교의 정신을 느낍니다"
「恐れ入ります」	" 죄송합니다"
　誇る訳でもなく、ユヒト司祭は控えめな態度だ。	자랑하는 것도 아니고 유히고 사제는 조심스러운 태도다.
　他の司祭たちも、一様に穏やかな表情を浮かべている。	다른 사제들도 한결같이 온화한 표정을 짓고 있다.
　同じ哲学を持つ者同士の心地よい沈黙を、その場にいる全員が感じているようだった。	같은 철학을 가진 자들의 정겨운 침묵을 그 자리에 있는 모든 사람들이 느끼는 듯했다.
　オベニウスはミラルディア輝陽教の教典に片手を置き、もう片方の手を胸に当てて厳かに宣言する。	오베니우스은 미랄디아 휘양교의 경전에 손을 두고 다른 손을 가슴에 대고 엄숙하게 선언하다.
「このオベニウス・イオロ・ユピテウム三世は、ユヒト正司祭の教典解釈を正当なものと認めます。かの者の輝陽教発展への功績と深遠なる知見を称え、大司祭に推挙したく思います。異論のある方は起立をもって意志を示してください」	"이 오베니우스·이오로·유피테움 세세는 유히와 시요 우지제의 경전 해석을 정당한 것으로 인정합니다. 그 사람의 휘양교 발전의 공적과 심원한 지식을 기리며 큰 사제가 추대하고 싶어요.이론이 있는 분은 기립을 가지고 의지를 보이세요"
　誰も立つ者はいない。全会一致の可決だ。	누구도 뛰어난 사람들은 없다.만장 일치의 가결이다.
　輝陽教の大司祭といえば、イオロ・ランゲ以外には数名しかいない。特に南部では初めてのことだった。	휘양교의 대신부라고 하면 이오로·랑게 이외에는 몇명밖에 없다.특히 남부에서는 처음이었다.
　ユヒト大司祭が深々と頭を下げる。	유히고 큰 사제가 심々다고 고개를 숙인다.
「畏れ多いことです。大司祭となるにはあまりにも罪深く矮小な信徒ですが、一人でも多くの方を救えるよう、微力を尽くして参ります」	"황공하다 것입니다.대사제가 되려면 너무 죄 많은 왜소한 신도이지만, 한 사람이라도 많은 분을 구하도록 미력을 다하고 있습니다"
　するとオベニウスは微笑みながら、最高司祭の帽子と法衣を脱いだ。	그러자 오베니우스는 웃으면서 최고 사제의 모자와 법의를 벗었다.
「期待しておりますよ、ユヒト殿」	"기대하고 있어요, 유 사람도 노"
　笑顔は変わらないが、オベニウスは先ほどよりも少しだけ実務的な口調で切り出した。	미소는 변하지 않았지만, 오베니우스은 아까보다 조금만 실무적인 어조로 말했다.
「さて、とても心地よい時間でしたが、教義の話はひとまずここまでにしておきましょう。すぐに評議会に使者を送ります。ユヒト殿、仲介をお願いできますか？」	"자, 너무 좋은 시간이었지만, 교의의 이야기는 일단 여기까지 합시다. 곧 평의회에 사신을 보냅니다.유 사람도, 중개를 부탁할 수 있어요?"
「はい、喜んで」	"네, 기꺼이"
　ユヒト大司祭は、イオロ・ランゲ太守オベニウスに恭しく一礼した。	유히고 큰 사제는 이오로·랑게 태수 오베니우스에 공손히 머리를 숙였다.
　クラウヘンでは、エレオラ皇女が直属の魔撃大隊を前にして説明をしていた。	크라우 이상이, 에레오라 아들이 직속의 법칙 공격 대대를 앞두고 설명을 하고 있었다.
「以上のように、状況は深刻だ。我々には残された時間がもうない」	"이상과 같이 상황이 심각하다.우리에게는 남겨진 시간이 더 없다"
　隊員たちは無表情だが、緊張感を漂わせている。	대원들은 무표정이지만, 긴장감을 풍기고 있다.
「軍事的な観点で言えば、ここでの軍事行動は愚挙の極みだ。本来ならば、援軍を待つのが当然だ。しかし援軍は秋まで来ない」	"군사적 관점에서 말하면 여기서 군사 행동은 어리석은 짓의 표본이다. 본래라면, 원군을 기다리는 것이 당연하다.그러나 원군은 가을까지 안 오"
　一同が無言でうなずく。	일동이 말 없이 고개를 끄덕였다.
　だがエレオラは、眉間にしわを浮かべながら続けた。	그러나 에레 오라는 미간에 주름을 지으며 계속했다.
「一方、政治的な観点では、この作戦は極めて重要だ。現状のまま皇帝陛下が崩御なされた場合、我々の立場は極めて微妙なものになる」	"한편 정치적 관점에서는 이 작전은 매우 중요하다.현상태 황제 폐하가 승하 이루어졌을 경우, 우리의 입장은 매우 미묘한 것이 "
「あの、具体的にどうなりますか？」	"그 구체적으로 어떻게 됩니까?"
　ナタリアが挙手しておずおずと質問したので、エレオラは思わず微笑む。	나타리아가 손을 들어 쭈뼛쭈뼛 질문한 것으로 에레 오라는 무심코 웃는다.
「我々はまだ任務を達成できていない。そして皇帝陛下が崩御なされれば、この任務は中止となる可能性が高い」	"우리는 아직 임무를 달성하지 못하고 있다.그리고 황제 폐하가 승하하면 이 임무는 중단될 가능성이 크다"
「えと、つまり懲罰の可能性があるということですか？」	"네, 그러니까 징벌의 가능성이 있다는 건가요?"
「そうだな。呼び戻されて査問を受けることになるだろう」	" 그렇군.소환되고 사문을 받게 될 것"
　そうすればエレオラの経歴に傷がつき、ロルムンド国内での地位は急低下する。他の皇子たちにとっては好都合だろう。	그러면 에레오라의 경력에 상처를 입었고, 롤뭉도 국내에서의 지위는 갑자기 저하된다.다른 아들들에게는 안성맞춤이다.
　エレオラはミラルディアの地図を示す。リューンハイトにあるものほど正確ではないが、ロルムンド軍が入手可能な中では最も精密な地図だ。	에레 오라는 미랄디아의 지도를 나타낸다.류ー은 하이트에 있는 것일수록 정확하지는 않지만 롤뭉도군이 입수 가능한 가운데 가장 정밀한 지도이다.
「作戦の概要は先ほど伝えた通りだ。作戦を中止する場合はいったんウォーンガングに帰還するが、その後即座にクラウヘンへの退却を開始する。本隊に合流できなかった場合は、直接クラウヘンに向かえ」	"작전의 개요는 방금 전했던 대로다. 작전을 중단하는 경우는 일단 원 강그에 귀환하지만 그 후 즉각 크라우 이상의 퇴각을 개시한다.본대에 합류하지 못한 경우는 직접 크라우 이상으로 향하는 "
　エレオラ皇女はボルシュ副官に向き直る。	에레 오라 왕녀는 보르 슈 부관으로 방향을 바꾼다.
「長期の作戦行動が可能な大隊員は九十八名か、ボルシュ」	"장기 작전이 가능한 대대원은 구십팔명인지 볼 슈"
「九十七名になりました。昨夜からスニーツェが高熱を出しています」	"구십칠명이 되었습니다.어젯밤부터 스니ー츠에가 고열을 내고 있어요 "
「病人は十名か。ここの責任者が必要だな」	"환자는 열명?여기 책임자가 필요하구나"
　エレオラ皇女は少し考え、すぐさま指示を下した。	에레 오라 왕녀는 조금 생각하고 곧 지시를 내렸다.
「よし、クラウヘンに二名残す。エスカヤ三等士官、それとゼートル、太守との折衝を担当しろ。病人たちの安全を守れ」	" 좋아, 크라우 이상으로 두명 남긴다. 에스카야 삼등 사관, 그리고 제ー톨, 태수와의 절충을 담당한다.환자들의 안전을 지킨다"
「はっ！」	"헉!"
　古参の士官と兵士が敬礼した。	고참 사관과 병사가 경례했다.
　それにうなずき返し、エレオラは残る全員に命じる。	그것에 우나즈키반시, 에레 오라는 나머지 전원에게 명한다.
「残る九十五名は予備魔撃大隊と共に出立し、城塞都市ウォーンガングにて友軍と合流する。ただちに準備にかかれ！」	"나머지 구십 오명은 예비광 공격 대대와 함께 출발하고 성채 도시 우오ー은강그에서 우군과 합류한다.즉각 준비에 걸린다!"
「はっ！」	"헉!"
　彼女の指示に、全員が敬礼で応えた。	그녀의 지시에 모두 경례로 답했다.
　　　　＊　　　　　　＊	＊ ＊
　俺がロルムンド軍の動きを察知したのは、ガーニー兄弟の頭をぐりぐり攻撃しているときだった。	내가 롤뭉도군의 움직임을 간파한 것은 가니 형제의 머리를 누르면서 공격하고 있을 때였다.
　こいつら、目を離すとすぐにバカなことをしでかすからな。	이놈들, 눈을 떼자마자 바보 같은 짓을 저지르니까.
　今日も勝手にスモークチキンを作ろうとして、旧市街でたき火をしていた。	오늘도 마음대로 스모크 치킨을 만들고, 구 시가에서 모닥불을 하고 있었다.
「なんでたき火で怒られなきゃならねえんだよ!?」	"왜 모닥불에 혼 나지 않으면 안 된단 말야!"
　叫ぶガーニー兄の頭にヘッドロックを極めながら、俺は叫び返す。	외치다 가니 형의 머리에 헤드 락을 다하면서 나는 규비반스.
「旧市街でたき火は禁止だって言っただろうが！」	"구 시가에서 모닥불은 금지라고 말했지.!"
　すると俺の尻の下敷きになっているガーニー弟が、不思議そうに首を傾げる。	그러자 내 엉덩이 밑에 깔리고 있다 가니 동생이 신기한 듯 고개를 갸웃거린다.
「あれ、たき火しても良くなったんじゃなかったっけ？」	"어라, 모닥불도 좋은 건 아니지 않나?"
「それは新市街のほうだ！」	"그것은 신시가의 편이다!"
　新市街は竜火工兵隊の協力で、消防用水や防火帯が整備されてるからな。道幅もゆったりしているので、延焼しにくい。	신시가는 용 야화공 군인의 협력으로, 소방용 물과 방화대가 정비되고 있으니까.노폭도 느긋하게 있어 연소하기 어렵다.
　俺が魔法で強化されたジャーマンスープレックスでガーニー兄をぶん投げた辺りで、モンザがやってくる。	내가 마법에서 강화된 저먼 스플렉스로 가니 형을 집어던지단 근처에서 몬 디가 찾아온다.
「あは、面白そう。あたしもやっていい？」	"그거, 재미 있겠다.나도 하고 좋은?"
「いいけど、なんか用があって来たんじゃないのか？」	" 좋지만 뭔가 볼일이 있어서 왔잖아?"
　するとモンザはガーニー兄を引きずりながら、ふと思い出したようにつぶやく。	그러자 몬 더는 가니 형을 끌면서 문득 생각 난 듯 중얼거린다.
「あ、そうだった。アイリアが呼んでるよ。ロルムンドがどうとかって」	"아, 그랬다. 아이 코리아가 부르고 있어요.롤뭉도이 어쩌고 하면서도 "
「それを早く言えよ！」	"그것 빠르게 말하자!"
「ロルムンド軍が城塞都市ウォーンガングから南下を開始し、四隊に分かれた模様です」	"롤뭉도군이 성채 도시 우오ー은강그에서 남하를 시작하고 네대로 갈라진 모양입니다"
　緊急の幹部会議で、カイトが壁にかかった地図を示す。	긴급 간부 회의에서 카이트가 벽에 걸린 지도를 나타낸다.
　即座にアイリアが疑問を呈した。	즉시 아이 코리아가 의문을 제기했다.
「軍略の基本は、兵を束ねることです。分散させる理由がわかりませんね」	"군략의 기본은 군사를 묶는 것입니다.분산 시키는 이유를 모르겠네요 "
　城壁に囲まれた都市を包囲攻撃するには、かなりの兵力を必要とする。四隊に分けても大丈夫なぐらい兵力があれば別だが、彼女の直属の部下は二百人もいないはずだ。	성벽에 둘러싸인 도시를 포위 공격하려면 상당한 병력을 필요로 한다.네대에 나누어도 괜찮은 정도 병력이 있으면 몰라도 그녀의 직속 부하는 2백명도 없을 것이다.
　俺はカイトに質問する。	나는 카이토에게 질문한다.
「兵の規模は？」	"병사의 규모는?"
「シュベルムとウォーンガングの駐留軍が合計七千。内訳は騎士団と傭兵です。これは北部側の総戦力に相当しますね」	"슈벨무과 원 강그의 주둔군이 모두 칠천. 내용은 기사단과 용병입니다.이는 북부 측의 총 전력에 해당합니다."
　南部の小都市なら力押しで潰せる戦力だが、それを四つに分ける意味がわからないな。	남부의 소도시이라면 대강 찌부러뜨릴 수 있다 전력이지만 그것을 넷으로 나눌 의미가 모르겠네.
　カイトが説明を続ける。	카이토가 설명을 계속한다.
「あと未確認情報ですが、魔撃大隊が五百ほどとみられています」	"그리고 미확인 정보입니다만, 뭐 공격 대대가 오백 정도로 보이고 있습니다"
「五百か。いつの間にかずいぶん増えたな」	"오백?어느새 많이 늘었구나"
　軍事坑道が完成して、援軍が来たということだろうか。	군사 갱도가 완성되고, 원군이 왔다는 뜻일까.
　城門を破壊できる魔撃大隊は脅威だ。四つに分けても百人以上いるから、これで四都市を一気に攻略するつもりだろうか。	성문을 파괴할 수 있는 마격 대대는 위협이다.넷으로 나누어도 백명 이상 있으니 이로써 네 도시를 단번에 공략할 것인가.
　七千の兵を四つに分けても、それぞれが二千近い兵力になる。人口数千人の南部の都市にとって、これはかなり怖い。	칠천병을 넷으로 나누어도, 각각이 2천에 가까운 병력이다.인구 수천명의 남부 도시에게 이는 많이 무섭다.
　だが前線の四都市、古都ベルネハイネン、工業都市トゥバーン、迷宮都市ザリア、工芸都市ヴィエラには、骸骨兵が三千ずついる。	그러나 전선의 네 도시, 고도 벨 네하이넹, 공업 도시 투 바ー은, 미궁 도시 자리아, 공예 도시 비에라에는 해골 병사가 삼천씩 있다.
　各都市の衛兵隊、魔王軍、それに市民兵が加われば、数の上では負ける気がしない。こちらには城壁もある。	각 도시의 위병대, 마왕군, 그것에 시 민병대가 가세하면 수 위에서는 질 마음이 되지 않는다.여기에는 성벽도 있다.
　エレオラ皇女だってそんなことはわかっているはずだから、本来なら七千五百の兵力でひとつの都市を攻撃するはずだ。	에레오란 왕녀라도 그런 것은 알고 있으니깐, 본래라면 칠천 오백의 병력으로 하나의 도시를 공격할 것이다.
　同じことを思ったのか、師匠が頰杖をつきながら首を傾げる。	같은 것을 생각했는지, 스승이 턱을 튀기며 고개를 갸웃거린다.
「わしにはよくわからんが、無謀な作戦に思えるのう……ヴァイト、おぬしには敵の意図が読めるか？」	"나는 잘 모르지만 무모한 작전 같군……바이고, 자네는 적의 의도가 읽힌다?"
「俺も無謀にしか思えませんね。でも、そう思わせるための作戦かもしれません」	"나도 무모하게만 생각할 수 없네요. 하지만 그렇게 생각하기 위한 작전인지도 모릅니다"
　わざわざ負けに来る敵はいない。	일부러 거기에 오는 적이 없다.
　だから何か必勝の策があるということだ。	그래서 뭔가 필승의 책이 있다는 것이다.
　蒼鱗騎士団長のバルツェが、腕組みをしながら地図をにらむ。	창린 기사 단장의 바다 루츠에이 팔짱을 끼면서 지도를 노려보다.
