KR	JP
율리우스가 눈을 반짝인다.	　ユリウスが目を輝かせる。
「그거 좋군. 모처럼 아르젤 공화국에 유학 왔으니 관광하는 것도 나쁘지 않겠어. 한 달이나 있으면 조금 분주하겠지만 대강 보고 다닐 수 있겠지」	「それはいいな。せっかくアルゼル共和国に留学したのだから、観光するのも悪くない。一ヶ月もあれば、多少慌ただしいが一通り見て回れるだろう」
이 녀석, 한 달을 전부 써서 관광할 셈인가?	　こいつ、一ヶ月間をフルに使って観光するつもりだろうか？
어쩜 이리도 우아한 여름방학을 보내는 방법이냐.	　なんと優雅な夏期休暇の過ごし方だろう。
――허나, 무의미하다.	　──だが、無意味だ。
나는 마리에한테 시선을 돌리자, 그런 다섯 명과 대조적으로 현실을 알고 있는차디찬 눈을 하고 있었다.	　俺はマリエに視線を戻すと、そんな五人とは対照的に現実を知る冷たい目をしていた。
카라는 그런 마리에 앞에서 허둥대고 있다.	　カーラはそんなマリエを前にして狼狽えている。
「왜, 왜 그러세요, 마리에 님?」	「ど、どうしたんですか、マリエ様？」
「카라, 저 다섯 명을 돌봐야할 입장인 우리가 휴일을 만끽할 수 있다고 생각해? 지금까지는 학원이 있었으니 점심은 여유가 있었지만, 내일부터는 아침부터 밤까지 저 다섯 명을 돌봐야 해」	「カーラ、あの五人の面倒を見る立場の私たちが、休日を満喫できると思う？　今までは学院があるからお昼は余裕があったけれど、明日からは朝から晩まであの五人の面倒を見るのよ」
마리에는 마음이 매우 식어있는 모습이었다.	　マリエはとても冷めていた。
여름방학을 기뻐하는 것은 아이들뿐이고, 아이를 가진 부모는 큰일이다.	　夏休みを喜ぶのは子供だけで、子を持つ親は大変だ。
지금까지 아이가 없는 시간이 있었는데, 앞으로는 아침부터 밤까지 아이가 집에 있다.	　今まで子供がいない時間があったのに、これからは朝から晩まで子供が家にいる。
전업주부든, 직업이 있든 어머니는 큰일이다――라는 얼굴을, 마리에가 하고있는 것처럼 보였다.	　専業主婦だろうと、仕事を持っていようと母親は大変だ──という顔を、マリエがしているように見えた。
지금의 마리에한테 있어, 다섯 명은 돌봐줘야 하는 아이들인 모양이다.	　今のマリエにとって、五人は面倒を見るべき子供らしい。
마리에가 메마른 웃음소리를 내고 있다.	　マリエが乾いた笑い声を出している。
「우후후후――내일부터 점심을 준비하지 않으면 안 되네. 어쩌지, 식비가 불어나」	「うふふふ──明日からお昼の用意もしないと駄目ね。どうしよう、食費がかさんじゃう」
이것이, 그 여성향 게임 세계에 환생하여 역하렘을 노린 여자의 말로이다.	　これが、あの乙女ゲー世界に転生し、逆ハーレムを目指した女の末路である。
전생의 여동생인 마리에의 모습을 보고, 어째서 이렇게나 슬퍼지는 것일까?	　前世の妹であるマリエの姿を見て、どうしてこんなに悲しくなるのだろうか？
마리에를 단순하게 불쌍하다고는 생각하지 않는다.	　マリエを単純に可哀想とは思わない。
생각하지 않지만, 역하렘을 노린 결과――다섯 명의 성가신 남자를 기르게 된여동생에게, 사실 조금 동정하게 된다.	　思わないが、逆ハーレムを目指した結果──五人もの面倒な男を養うことになった妹に、少し同情してしまうのは事実だ。
그래도 살짝 재밌다.	　でも、ちょっと面白い。
지금 상황은, 마치 다섯 명의 아이들을 떠안고 있는 거나 마찬가지다.	　今の状況は、まるで五人の子供を抱えているようなものだ。
역하렘을 노린 바보 같은 여동생에게는, 참으로 어울리는 벌이 아닐까?	　逆ハーレムを目指した馬鹿な妹には、実に相応しい罰ではないだろうか？
히죽거리며 마리에를 보고 있자, 그런 내 볼이 꼬집혀졌다.	　ニヤニヤしながらマリエを見ていると、そんな俺の頬がつままれた。
「아, 아프아」	「い、いたいひゃ」
아파, 라고 전한 상대는 너풀거리는 장발을 사이드 포니테일로 묶은 여자다.	　痛いよ、と伝えた相手はふわりとした長い髪をサイドポニーテールにまとめた女子だ。
머리카락은 뿌리 쪽은 금발이고, 끝에 가까울수록 핑크가 되는 그러데이션이되어있다.	　髪の毛は根元が金髪で、毛先に近いほどピンク色になるグラデーションになっている。
말괄량이스러운 분위기를 가지고, 살짝 갸루 같은 외견이다.	　お転婆そうな雰囲気を持ち、ちょっとだけギャルっぽい外見だ。
하지만, 본인은 소탈하고 상냥한 아이였다.	　だが、本人は気さくで優しい子だった。
가정적인 면도 있어, 갭이 큰 아이이기도 하다.	　家庭的な面もあり、ギャップの強い子でもある。
「뭘 그리 히죽거리고 있는 걸까나?」	「何をニヤニヤしているのかな？」
나를 보며 웃는 얼굴로 말을 걸어오는 【노엘 벨트레】――본명은 【노엘 질 레스피나스】.	　俺を見て笑顔で話しかけてくる【ノエル・ベルトレ】──本名を【ノエル・ジル・レスピナス】。
――그 여성향 게임의 2편이 존재하여, 노엘은 그 2편의 주인공님이다.	　──あの乙女ゲーに二作目が存在し、ノエルはその二作目の主人公様だ。
나는 노엘의 손에서 벗어나, 볼을 문지르며 대답한다.	　俺はノエルの手から逃れ、そして頬をさすりながら答える。
「마리에가 꽤 재밌는 상황이 돼있어서. 흥미롭다고 생각되지 않아? 역하렘을노린 결과가 행복하다고는 할 수 없다고 보여주는 귀중한 샘플이잖아」	「マリエが随分と面白いことになっているからね。興味深いと思わない？　逆ハーレムを目指した結果が、幸せとは限らないって示してくれる貴重なサンプルだろ」
웃고 있는 나를 보고, 노엘은 어이없어했다.	　笑っている俺を見て、ノエルは呆れるのだった。
「남의 인생을 샘플이라고 하는 건 심했어」	「人の人生をサンプルなんて言い過ぎよ」
「미안해. 하지만, 웃기니까」	「悪かったよ。けど、笑えるからさ」
마리에한테 몇 번이나 고생당한 나로서는, 웃는 정도는 봐줬으면 한다.	　マリエには何度も苦労させられてきた俺からすれば、笑うくらいは許して欲しい。
생활의 금전적 지원도 하고 있다.	　生活の金銭的支援もしているのだ。
괜찮을 것이다.	　許されるはずである。
「리온은 성격이 비뚤어져있다니까」	「リオンは性格が捻くれているわよね」
노엘이 어이없는 얼굴을 보였지만, 금방 웃는 얼굴로 돌아온다.	　ノエルは呆れた顔を見せるが、すぐに笑顔に戻る。
그리고 내게 얼굴을 가까이 대왔다.	　そして俺に顔を近付けてくるのだ。
코끝이 닿을 것 같은 거리였다.	　鼻先が触れあいそうな距離だった。
“저기, 그보다도 돌아가는 길에 쇼핑하는데 따라와 줘”	「ねぇ、それよりも帰りに買い物に付き合ってよ」
「쇼핑?」	「買い物？」
「마리에 짱의 집에서 신세를 지고 있고, 가끔은 나도 공헌해야지」	「マリエちゃんの家でお世話になっているし、たまにはあたしも貢献しておかないとね」
「별로 신경 쓰지 않아도 된다고 생각하는데」	「別に気にしなくてもいいと思うけどね」
마리에 짱, 이라.	　マリエちゃん、ね。
노엘과 마리에는 꽤 친해진 모양이었다.	　ノエルとマリエは、随分と親しくなっている様子だった。
그것도 어쩔 수 없지.	　それも仕方がない。
피에르 소동 이후, 노엘은 우리――아니, 마리에의 저택에서 신세를 지고 있다.	　ピエールの一件以降、ノエルは俺たち──いや、マリエの屋敷で世話になっている。
나도 지금은 마리에의 저택에서 지내고 있다,	　俺も今はマリエの屋敷で暮らしている。
이유는――이게 참 곤란한 일인데, 내 오른 손등에 있다.	　理由は──これが本当に困ったことなのだが、俺の右手の甲にある。
지금은 상처를 입었다고 말하고 붕대를 감고 있지만 그 아래에는 '수호자의 문장'이라고 불리는 성수에게 인정받은 증표가 존재하고 있었다.	　今は怪我をしたと言って包帯を巻いているのだが、その下には〝守護者の紋章〟と呼ばれる聖樹に認められた証が存在していた。
나를 인정한 것은, 피에르 소동 때문에 확보한 성수의 묘목이다.	　俺を認めたのは、ピエールの一件で確保した聖樹の苗木だ。
원래대로라면, 성수는 무녀를 선택한다.	　本来であれば、聖樹は巫女を選ぶ。
그 무녀가 수호자를 선택한다고 들었기에 방심하고 있었다.	　その巫女が守護者を選ぶと聞いていたので油断していた。
나는 뒷자리를 돌아봤다.	　俺は後ろの席を振り返る。
거기에 있던 것은 【쟝】이라는, 공화국에서 알게 된 학원의 남자다.	　そこにいたのは【ジャン】という、共和国で知り合った学院の男子だ。
이번 보습을 받고 있는 우리들은, 피에르가 일으킨 사건에 의해 일시적으로 학원에 다닐 수 없었던 학생들이다.	　今回補習を受けている俺たちだが、ピエールが起こした事件の際に一時期学院に通えなかった生徒たちである。
그것을 보충하기 위해 오늘까지 보습을 받고 있었다.	　その穴埋めとして、今日まで補習を受けていた。
「쟝은 지금부터 돌아가는 거야? 그럼, 같이 쇼핑하러 갈래?」	「ジャンも今から帰るのか？　なら、一緒に買い物にいく？」
쟝에게 권유하며, 난 노엘의 모습을 살폈다.	　ジャンを誘いつつ、俺はノエルの様子をうかがう。
어딘가 토라진 듯한 얼굴을 한 것처럼 보이는 건――기분 탓일까?	　どこか拗ねたような顔をしているように見えるのは──気のせいだろうか？
「전 지금부터 용무가 있어서요. 내일부터, 신세를 지고 있던 친척 집으로 돌아갈 생각이에요. 걱정한 모양인지 얼굴을 보이라고 편지가 와서요」	「僕はこれから用事がありますから。明日から、お世話になっていた親戚の家に戻るつもりです。心配してくれたようで、顔を出せと手紙が来たので」
쟝은 웃는 얼굴로 내 권유를 거절했다.	　ジャンは笑顔で俺の誘いを断った。
「그, 그래」	「そ、そうか」
「그리고, 두 사람의 방해를 하는 것도 미안하구요」	「それに、二人の邪魔をするのも悪いですし」
쟝은 그리 말하고는 노엘 쪽으로 시선을 향했다.	　ジャンはそう言って、ノエルの方に視線を向けた。
노엘은 조금 부끄러워하고 있다.	　ノエルが少し照れている。
――나는 얼마 전까지, 노엘이 좋아하는 인물이 쟝이라고 생각했다.	　──俺は少し前まで、ノエルが好きな人物はジャンだと思っていた。
이 쟝이라는 남학생은 공략 대상도 아무것도 아닌 모브였다.	　このジャンという男子生徒だが、攻略対象でも何でもないただのモブだった。
그런 쟝을 좋아하게 됐다면 그것도 어쩔 수 없다고 생각했는데――아무래도 내착각이었던 모양이다.	　そんなジャンを好きになったなら、それも仕方がないと思っていたのだが──どうやら、俺の勘違いだったらしい。
난처하네.	　困ったぞ。
노엘이 이 2편의 주인공이라면, 공략 대상의 누군가와 맺어질 필요가 있다.	　ノエルがこの二作目の主人公なら、攻略対象の誰かと結ばれる必要がある。
그러지 않으면 세계가 위험해.	　そうしないと世界が危ない。
젊은이의 연애 사정으로 세계가 멸망할지도 모르는 거다.	　若者の恋愛事情で世界が滅ぶかもしれないのだ。
뭐가 이리 성가신 세계인 걸까.	　何て嫌な世界だろうか。
그런데, 현 상황은 그다지 좋지 않았다.	　それなのに、現状はあまりよろしくなかった。
2편의 공략 대상――노엘의 연애 후보다만, 실은 현시점에 대부분이 접점이 적다.	　二作目の攻略対象──ノエルの恋愛候補だが、実はほとんどが現時点で接点が薄い。
첫 번째는 【로이크 레타 발리에르】라는 왕도적인 공략 대상인데――이 녀석, 노엘의 스토커가 돼버렸다.	　一人目は【ロイク・レタ・バリエル】という、王道的な攻略対象だが──こいつ、ノエルのストーカーになってしまった。
게임에서도 조금 독점욕이 강하다고 들었지만, 상상 이상으로 위험한 놈이었어.	　ゲームでもちょっと独占欲が強いとか聞いたが、想像以上に危ない奴だったよ。
그 때문에, 노엘이 혐오감을 안고 있어 연인 후보에서 제외되어있다.	　そのため、ノエルが嫌悪感を抱いており恋人候補から除外されている。
두 명째는 【나르시스 카르세 그란쥬】다.	　二人目は【ナルシス・カルセ・グランジュ】だ。
이 사람은 학원의 교사이다. 고고학에 흥미를 가졌으며, 취미로 필드 워크 하러 자주 나가는 별난 귀족이기도 하다.	　この人は学院の教師である。考古学に興味を持ち、趣味でフィールドワークによく出かける変わった貴族でもある。
조금 취미에 매달리지만 나쁜 사람은 아니다.	　多少趣味に走りすぎているが、悪い人ではない。
그럼에도, 노엘과 현시점에서 접점은 하나도 없다.	　それでも、ノエルと現時点で接点が全くない。
노엘도 의식을 하던가, 안 하던가, 그런 레벨이 아닌 「나르시스 선생님? 아아, 그러고 보니 그런 선생님도 있었지」라는 상태다.	　ノエルも意識をするとか、しないとか、そんなレベルではなく「ナルシス先生？　あぁ、そう言えばそんな先生もいるわね」という状態だ。
게임에서는 2학년으로 진급할 때까지 나르시스의 특별 수업을 전공하지 않으면 플래그가 서지 않고 자동 소멸해버린다.	　ゲームでは二年生に進級するまでに、ナルシスの特別授業を専攻していないとフラグが立たずに自動消滅してしまう。
자동 소멸이라고 하니 다른 한 사람의 플래그도 사라져 있다.	　自動消滅と言えば、もう一人のフラグも消えている。
현재 학원의 3학년인 【유그 토아라 드루이유】다.	　現在は学院の三年生である【ユーグ・トアラ・ドルイユ】だ。
이 녀석은 노엘이 1학년일 때에 플래그를 세우지 않으면, 2학년으로 진급 시에 자동 소멸――이후는 관계를 맺지 않게 된다.	　こいつはノエルが一年生の時にフラグを立てないと、二年生の進級時に自動消滅──以降は関係を持てなくなる。
노엘은 접점을 만들지 않았고, 이 세 명째도 연인 후보가 될 수 없다.	　ノエルは接点を作っておらず、この三人目も恋人候補になり得ない。
계속해서 네 명째인 【에미르 라즈 프레반】인데 이 녀석은 '안전빵'이라고 불릴정도로 공략이 편한 연인 후보였다.	　続いて四人目の【エミール・ラズ・プレヴァン】だが、こいつは〝安牌〟と言われるくらいに攻略が楽な恋人候補だった。
하지만, 환생자――노엘의 쌍둥이 여동생으로 환생한 【레리아 벨트레】의 연인이 되어있다.	　しかし、転生者──ノエルの双子の妹として転生した【レリア・ベルトレ】の恋人になっている。
레리아 녀석이 에미르를 뺏은 상태였다.	　レリアの奴がエミールを奪っていた。
여기까지 연인 후보 네 명에게 가능성은 전혀 없는 상태이며, 마지막 한 사람인 【셀쥬 사라 라우르트】는, 애초에 학원에 등교하고 있지 않다.	　ここまで恋人候補四人に可能性が全くない状態であり、最後の一人である【セルジュ・サラ・ラウルト】など、そもそも学院に登校してきていない。
만날 수도 없을뿐더러, 이 녀석의 친가는 노엘과 미묘한 관계다.	　出会いようがない上に、こいつは実家がノエルと微妙な関係だ。
왜냐하면, 이 녀석의 의붓아버지는 【알베르크 사라 라우르트】――라스보스다.	　何しろ、こいつの養父は【アルベルク・サラ・ラウルト】──ラスボスだ。
의붓누나는 【루이제 사라 라우르트】――2편의 악역 영애다.	　義姉は【ルイーゼ・サラ・ラウルト】──二作目の悪役令嬢だ。
그리고, 라우르트 가문은 레스피나스 가문을 멸족시킨 집안.	　そして、ラウルト家はレスピナス家を滅ぼした家。
이제부터 맺어질 거냐고 묻는다면, 어렵다고 하지 않을 수 없다.	　今から結ばれるのかと問われると、難しいと言わざるを得ない。
――공략 대상의 남자가 전멸해있다.	　──攻略対象の男子が全滅している。
덤으로, 노엘의 연인도 아닌데 성수의 묘목은 나를 수호자로 골라버렸다.	　おまけに、ノエルの恋人でもないのに、聖樹の苗木は俺を守護者に選びやがった。
아무리 생각해도 망한 상태다.	　どう考えても詰んでいる状況だ。
내가 생각에 잠겨있자, 노엘이 내 셔츠를 손가락으로 잡고 일으켜 세웠다.	　俺が考え事をしていると、ノエルが俺のシャツを指で掴み、立たせる。
「자, 어서」	「ほら、早く」
「알았으니까 셔츠를 당기지 마」	「分かったからシャツを引っ張るなよ」
우리 두 사람은 교실을 나간다.	　俺たち二人は教室を出ていく。
그때, 노엘이 마리에한테 말을 걸었다.	　その際、ノエルがマリエに声をかけた。
「마리에 짱, 부족했던 조미료는 우리가 사둘게」	「マリエちゃん、足りなかった調味料はあたしたちで買っておくから」
그걸 들은 마리에는 조금 복잡한 표정을 지었다.	　それを聞いたマリエは、少しだけ複雑そうな表情をした。
「고, 고마워. 그보다도 옵――리온. 돌아오면 할 얘기가 있어」	「あ、ありがとう。それより、あに──リオン。戻ってきたら話があるから」
나를 「오빠」라고 부를 뻔하다가 급하게 정정한다. 그보다 마리에가 얘기?	　俺を「兄貴」と呼びそうになり、慌てて訂正する。というかマリエが話？
이 자리에서 할 수 없다는 것은 분명 이후의 일에 대해서겠지.	　この場で出来ないということは、きっと今後のことについてだろう。
「아아, 알았어. 빨리 돌아올게」	「あぁ、分かった。早く戻る」
그러자, 마리에가 한 번 노엘에게 시선을 보내고, 그다음에 내게 시선을 돌렸다.	　すると、マリエが一度だけノエルに視線を送り、その後に俺に視線を戻す。
「――저녁 준비가 귀찮으니까, 둘이서 먹고 와. 얘기는 밤에 해도 별로 상관없으니까」	「──夕食の準備が面倒だから、二人で食べてきて。話は別に夜でもいいから」
「그, 그래?」	「そ、そうか？」
왠지 마리에의 태도가 이상하네.	　何だかマリエの態度がおかしい。
요 최근, 이런 일이 늘고 있다.	　ここ最近、こういう事が増えていた。
나는 그대로, 노엘과 함께 쇼핑을 하러 갔다.	　俺はそのまま、ノエルと一緒に買い物へと向かった。
◇	　　　◇
저녁.	　夜。
쇼핑이 끝난 나와 노엘은 오픈 테라스가 있는 레스토랑에서 식사를 하고 있었다.	　買い物が終わった俺とノエルは、オープンテラスのあるレストランで食事をしていた。
양초가 놓인 둥근 테이블에는 큰 접시가 세 개.	　蝋燭が置かれた丸テーブルには、大皿が三つ。
앞에는 작은 그릇과 빵이 들어간 바구니가 놓여있다.	　手元には小さい皿と、パンの入った小さなかごが置かれている。
비어있는 자리에는 구입한 물건이 갈색 종이봉투에 들어있었다.	　空いている席には、購入したものが茶色紙の袋に入れて置かれていた。
나는 랍스터를 삶은 듯한 요리를 앞에 두고 악전고투하며 식사를 하고 있었다.	　俺はロブスターを茹でたような料理を前に、悪戦苦闘しながら食事をしていた。
「이거, 먹기 힘드네」	「これ、食べにくいな」
얼마 전에, 피에르 소동으로 공화국에 막대한 배상금을 얻어, 살짝 분발하여비싼 요리를 주문한 결과가 이거다.	　少し前に、ピエールの一件で共和国から莫大な賠償金を得ており、少し奮発してお高めの料理に手を出した結果がこれだ。
평소 먹기 익숙하지 않은 음식을 앞에 두고 고생하고 있다.	　普段食べ慣れないものを前に苦労している。
「못 봐주겠네. 이리 줘봐」	「見ていられないわね。貸してみて」
그걸 보고 있던 노엘이 내게서 랍스터 같은 갑각류를 가져간다.	　それを見ていたノエルが、俺からロブスターらしき甲殻類を取り上げる。
그리고는 나와 다르게 예쁘게 해체해가지를 않는가.	　すると、俺とは違って綺麗に解体していくではないか。
내용물을 꺼낸 노엘은 그걸 작은 접시에 얹혀 내게 건네주었다.	　中の身を取りだしたノエルは、それを小皿に載せて俺に渡してくれた。
노엘이 테이블에 놓여있던 냅킨을 써, 손을 닦으며 내게 「어때」라고 조금 자랑하는 태도를 보였다.	　ノエルがテーブルの上に置かれていたナプキンを使い、手を拭きながら俺に「どうよ」と少し自慢気な態度を見せる。
「굉장하네. 이렇게까지 예쁘게 해체할 수 있다니」	「凄いな。ここまで綺麗に解体できるのか」
「해체라니――뭐어, 틀리진 않지만. 어때? 이제 먹기 쉬워졌지」	「解体って──まぁ、違わないけどね。どう？　これで食べやすくなったでしょ」
먹어보니 내용물이 싱싱해서 맛있었다.	　食べてみると身がプリプリしていておいしかった。
오픈 테라스가 아닌, 가게 안에서는 손님들의 즐거운 듯한 목소리가 들려온다.	　オープンテラスではなく、店内からは客たちの楽しそうな声が聞こえてくる。
점원들이 주문을 읽고 있는 목소리도 들렸다.	　店員たちの注文を読み上げる声も聞こえた。
가게 안의 빛, 그리고 가로등의 불빛도 있어서 테이블 위는 좀 어두웠지만 보이지 않을 정도는 아니다.	　店内の光、そして街灯の灯りもあって、テーブルの上は薄暗いがそれでも見えないほどではない。
반대로 분위기가 있어, 이건 이거대로 좋았다.	　逆に雰囲気が出て、これはこれで好きだった。
「이거 맛있네. 노엘도 먹어」	「これうまいな。ノエルも食べなよ」
「매번 대접만 받으면 마음이 안 내켜. 리온, 요즘 낭비가 좀 심하지 않아?」	「毎回おごってもらうと気が引けるのよ。リオン、最近は無駄遣いしすぎじゃない？」
피에르 소동이 진정되고, 나는 공화국에서 나름 즐겁게 지내고 있다.	　ピエールの件が落ち着き、俺は共和国でそれなりに楽しく暮らしている。
문제는 산더미지만, 그건 그거, 이건 이거, 다.	　問題は山積みだが、それはそれ、これはこれ、だ。
「산 것도 선물이 대부분이야. 가족이 시끄러워서」	「買ったのもお土産がほとんどだ。家族が五月蠅くてね」
공화국의 선물이 갖고 싶다고 시끄러운 건 내 가족――누나인 제나와 여동생인핀리다.	　共和国のお土産が欲しいと五月蠅いのは、俺の家族──姉のジェナや妹のフィンリーだ。
희귀한 물건이 갖고 싶은지, 내게 선물을 뻔뻔하게 요구해왔다.	　珍しい物が欲しいのか、俺にお土産を無心してきた。
그 외에도 신세를 지고 있는 사람들에게 보낼 필요도 있어, 조금 낭비하고 있었다,	　他にも世話になっている人たちに贈る必要もあり、少しだけ散財していた。
하지만, 모두 이유가 있으니 문제없다.	　だが、全て理由があるので問題ない。
어쩔 수가 없다고 말하는 내게, 노엘은 의심스러운 시선을 보낸다.	　仕方がないのだと言う俺に、ノエルは疑った視線を向けてくる。
「하지만, 새로운 티 세트는 필요 없잖아? 전용 가방에 들어간 그거, 대체 얼마한 거야?」	「でも、新しいティーセットはいらないわよね？　専用の鞄に入ったアレ、いったい幾らしたのよ」
「하하하――노엘, 이것도 먹어볼래? 맛있어」	「ははは──ノエル、これも食べてみない？　おいしいよ」
공화국에 엄청 좋은 티 세트가 있던 것이다.	　共和国に凄くいいティーセットがあったのだ。
돈도 들어와서 호주머니 사정도 넉넉하고 갖고 싶어져 버려서 구입했다.	　お金も入って懐が温かく、欲しくなってしまったので購入した。
하지만, 자신을 위해 구입한 건 티 세트뿐이다.	　だが、自分のために購入したのはティーセットだけだ。
다른 건 일용품이 대부분이다.	　他は日用品がほとんどである。
「리온?」	「リオン？」
노엘이 화제를 바꾸지 않아, 나는 솔직하게 자백했다.	　ノエルが話題を変えないので、俺は正直に白状した。
「――전부 다해서 십만 정도예요」	「──全部込みで十万くらいです」
십만――물론, 일본엔은 아니다.	　十万──もちろん、日本円ではない。
일본엔으로 말한다면 최소 천만이라던가, 그런 숫자가 된다.	　日本円でいうなら最低でも一千万とか、そういう数字になってくる。
노엘의 예상을 넘은 금액이었는지, 경악하고 있었다.	　ノエルの予想を超えた金額だったのか、驚いていた。
「일전에 비싼 찻잎이라던가, 과자도 사 모으고 있었지?」	「この前は高い茶葉とか、お菓子も買い集めていたわよね？」
「새로운 티 세트로 다과회를 하고 싶었는걸! 이건 내 취미라구! 그보다, 노엘도차도 마시고 과자도 먹었잖아!」	「新しいティーセットでお茶会をしたかったんだ！　これは俺の趣味なんだ！　というか、ノエルもお茶を飲んだし、お菓子も食べたじゃん！」
애초에, 초대한 상대는 노엘이다.	　そもそも、招待した相手はノエルである。
