KR	JP
염제가 뒷머리를 벅벅 긁었다. 앞머리까지 뒤로 넘겨서 고무줄로 묶은 헤어스타일. 저걸 포니테일이라고 하던가. 말꼬리처럼 길게 늘어진 흑발이 살짝 흔들렸다.	炎帝は、後頭部をボリボリとかいた。 前髪まで後ろにめくってゴムバンドで束ねたヘアスタイル。 あれをポニーテールと言っていたか。 言葉尻のように長く伸びる黒髪が少し揺れた。 
-어차피 될 놈은 된다.	-どうせなるやつはなる。 
염제는 카메라를 정면으로 노려보았다.	炎帝はカメラを正面でにらみつけた。 
-하지만 나중에 성공해도 나한테 개기진 마라. 죽는다.	-しかし、後に成功しても私にゲキはな。 死ぬ。 
-네?	-はい? 
-끝입니다. 더 할 말 없으니까 따라오지 마십쇼.	-終わりです。 もう言うことないからついて来ないませ。 
정말 그걸로 끝이었다. 염제는 카메라를 내버려 두고 홀로 걸어갔다. 기자가 당황해서 “염제님! 염제님! 방금 하신 말씀은 무슨 뜻입니까!” 하고 소리쳤지만 완전히 무시당했다.	本当にそれで終りだった。 炎帝はカメラを放っておいて一人で歩いた。 記者が慌てて"炎帝様! 炎帝様! 今おっしゃったことは何の意味です! "して叫んだが完全に無視された。 
염제의 멀어지는 등을 나는 말 없이 쳐다봤다.	炎帝の気の遠くなる等を私は黙って見た。 
“하아···.”	"はあ・・・。" 
분했다.	悔しかった。 
무시당한 것은 기자일 텐데. 왠지 몰라도 내가 무시당한 것처럼 느껴졌다.	無視されたのは記者のに。 なんとなくても、私が無視されたかのように感じた。 
진심으로 분했다.	本当に悔しかった。 
“나한테 괜찮은 스킬 하나만 있었어도···.”	"私に大丈夫なスキル一つだけあっても・・・。" 
현실은 F급짜리 말단 헌터.	現実はF級さつ末端ハンター。 
인터뷰를 하면 실시간으로 인터넷이 뜨거워진다거나.	インタビューをすればリアルタイムでインターネットが熱くなったり。 
소소한 사생활에 대해서도 사람이 관심을 가져준다거나.	些細なプライバシーに対しても人が関心を持ってくれるとか。 
무엇보다 자기 자신의 실력으로 성공해서··· 갑부가 된다거나.	何より自分自身の実力で成功して・・・大金持ちになるとか。 
그런 성공한 인생과 나는 거리가 멀었다.	そういう成功した人生と私は程遠かった。 
“성공하고 싶다···. 나도 S급 스킬 가지고 싶어라···. 우우. 꼭 돈 때문은 아니어도, 그냥, 성공하고 싶다. 염제가 가진 스킬이 내 꺼라면 얼마나 좋을까···?”	"成功したい・・・。 私もS級スキル持ちたいな・・・。 うう。 必ずお金のためではなくても、ただ、成功したい。 炎帝が持ったスキルが私のものならどんなに良いか・・・? " 
아마 지금 내 모습을 누가 보면 미친놈이라 생각하겠지.	多分今私の姿を誰が見ると、狂人と思うだろう。 
혼자서 중얼거리며 적나라하게 욕망을 드러내고 있으니.	一人で呟きながら赤裸々に欲望を表しているから。 
다시 말하지만 혼자 있는 단칸방이라서 이러는 거다. 듣는 귀가 없는 장소에서 이렇게 중얼거리는 게 나만의 스트레스 해소법이었다.	再三言うけど、一人でいる部屋だからこうするのだ。 聞く耳を持っていない場所でこのようにつぶやくのが私だけのストレス解消法だった。 
엄청 꼴불견이지만 뭐 어떤가?	すごく、みっともないだが、何か? 
괜히 바깥에서 난리를 치며 민폐 끼치는 것보다는 낫지.	いたずらに外で大騒ぎをしながら迷惑かけることよりはましでは。 
어차피 아무도 듣지 않으니까.	どうせ誰も聞かないから。 
“···어?”	"・・・え? " 
그러나 나의 생각이 틀린 모양이다.	しかし、私の考えが間違ったようだ。 
누군가가 내 말을 들었는지, 눈앞에서 황금빛이 반짝! 퍼졌다.	誰かが私の話を聞いたかどうか、目の前で黄金色がきらっと! 広がった。 
“서, 설마?”	"立って、まさか? " 
여태껏 동영상으로만 본 장면. 수백 번 수천 번이나 재생 버튼을 눌러서 본 광경. 매일 아침 일어날 때마다 돌려봐서 내 질투심을 불태워버린 풍경.	今まで動画だけで見た場面。 数百回数千回も再生ボタンを押して見た光景。 毎朝起きるたびに回してみて私の嫉妬心を燃やしてしまった風景。 
바로 헌터가 스킬을 각성하면 나타나는 빛이었다.	すぐハンターがスキルを覚醒すると表示される光だった。 
“황금색!?”	"黄金色の!? " 
그것도 S급 이상의 스킬이 떴을 때만 나타나는 황금빛!	それもS級以上のスキルが浮いた時だけ現れる金色の! 
심장이 미치도록 쿵쾅거렸다.	心臓が狂ったように高ぶっていた。 
곧, 황금색 빛깔이 한 군데로 모여들어 카드의 형태를 이루었다.	すぐ、黄金色の色がひとつに集まってカードの形をした。 
[유례를 찾아보기 힘들 정도로 추한 질투심!]	[類を見ないほど醜いと嫉妬心! ] 
[당신의 추악한 질투심에 탑이 경악하여 스킬을 던져줍니다.]	[あなたの醜い嫉妬心に塔が驚愕してスキルを投げてくれます。] 
어?	｢え？｣ 
뭔가 얘기로 듣던 거랑은 스킬 각성음이 좀 다른데···.	何か話で聞いていたのとはスキル各声音がちょっと違うんだけど・・・。 
보통 스킬을 각성할 적에는 ‘당신의 의지에 탑이 감동합니다’, ‘당신의 올곧은 수련을 탑이 보상합니다’, ‘당신의 업적에 탑이 찬사를 보냅니다’, 하고 멋진 소리들이 들린다고 했다.	普通スキルを覚醒することには'あなたの意志に塔が感動します'、'あなたの実直な修練を塔が補償します'、'あなたの業績に塔が賛辞を送ります'、して素敵な音が聞こえるとした。 
그런데 추악한 질투심에 경악하여 스킬을 던져준다니?	しかし、醜い嫉妬心に驚愕してスキルを投げてくれるなんて? 
마치 이거나 먹으라면서 동냥이라도 해주는 듯한 말투 아닌가.	まるでこれも食べろと言って托鉢でもしてくれるような言い方ではないか。 
‘아, 아니지. S급 스킬이 떴는데 말투가 뭔 상관이야.’	'あ、ない。 S級スキルがヒットしたが、言い方が何のかまうものか。' 
왠지 모르게 불안했지만 무시했다.	なんとなく不安だったが、無視した。 
얼마나 이 순간을 기다려왔는데. 쓸데없이 불길한 생각을 떠올릴 필요가 없지.	どれだけこの瞬間を待ってきたが。 いたずらに不吉な考えを思い浮かべる必要がない。 
[스킬 카드를 생성합니다.]	[スキルカードを生成します。] 
파앗!	パアッ! 
마지막으로 빛이 한번 더 터지면서 황금색 카드가 만들어졌다.	最後に光がもう一度起こり、黄金色カードが作られた。 
나는 덜덜 떨리는 손으로 카드를 잡았다.	私は体がぶるぶる震える手でカードをつかんだ。 
+	+ 
[너처럼 되고 싶다]	[お前のようになりたい] 
랭크: S+	ランク:S+ 
효과: 적에게 죽으면 자동으로 발동. 당신을 죽인 적의 스킬 중 1개를 복사하여, 당신의 것으로 만듭니다. 이미 1번 복사한 상대를 다시 복사할 수는 없습니다. 어떤 스킬을 복사할지는 무작위로 정해집니다.	効果:敵に死ねば自動的に発動。 あなたを殺した敵のスキルのうち1個をコピーして、あなたのものにします。 すでに1度コピーした相手を再びコピーすることはできません。 どんなスキルをコピーするかは、ランダムに決まります。 
※단, 죽습니다!	※ただし、死にます! 
+	+ 
“오오! 오오, 오··· 오··· 어?”	"おお! おぅ、呉・・・呉・・・え? " 
시간의 흐름에 따라 자연히 내 목소리는 오묘해졌다.	時間の流れによって自然に私の声は微妙になった。 
내가 눈을 깜빡거렸다.	僕が目をぱちぱちした。 
“엥?”	"は? " 
순간적으로 뭘 잘못 읽었나 싶었다.	瞬間的に何を読み間違えたと思った。 
다시 한번 천천히 카드의 맨 밑면에 적힌 문장을 읽었다.	もう一度ゆっくりカードの一番基本に書かれた文章を読んだ。 
※단, 죽습니다!	※ただし、死にます! 
진짜로 그렇게 적혀 있었다.	本当にそう書かれていた。 
이 S급 스킬을 사용하면 죽어버린다고 말이다.	このS級スキルを使用すれば死んでしまうと言葉だ。 
“······.”	"・・・・・・。" 
멍하게 카드를 쳐다봤다.	ボーとしてカードを見た。 
창문으로 바람이 들어와 벽에 덕지덕지 붙은 신문 쪼가리들이 흔들렸다. 한참이 지나서야 내 단칸방에 비명이 울렸다.	窓から風が入って壁にべたべたと張り付いている新聞の切れ端が震えた。 しばらく経ってから、私の部屋に悲鳴が鳴り響いた。 
“씨발, 이게 뭐야! 어떻게 스킬을 쓰라고!?”	"ちくしょう、これが何だよ! どうスキルを書けと!? " 
이날 나는 역대급 스킬을 얻었다.	同日、私は歴代級スキルを得た。 
역대급 똥 스킬을.	歴代級の糞スキルを。 
2화.  단, 죽는다. (1)	2話。 ただし、死ぬ。 (1) 
=============	============= 
1	1
스킬.	スキル。 
수많은 헌터를 울린 말.	数多くのハンターを発した言葉。 
스킬을 각성하는 조건은 사람마다 다르다.	スキルを覚醒する条件は人によって異なる。 
-훈련장에서 허수아비를 1만 번 후려쳤습니다. 그랬더니 저절로 생기더군요?	・訓練場でカカシを一万回のたたきつけました。 そうしたら自然に湧いてきましたか。 
-어느 날 갑자기 신님의 목소리가 들렸어요!	-ある日突然神様の声が聞こえました! 
-마법? 탑에 들어가니까 그냥 되던데.	-魔法。 塔に入るからそのままできますが。 
인성과 근성을 다 갖췄지만 하필 재능이 없어 밑바닥을 전전하는 헌터가 있었고, 반면, 성격이 개차반인데 재능빨로 먹고 사는 헌터도 있었다.	人性と根性をすべて備えたが、よりによって才能がなく、底を転々とするハンターがいたが、一方、、性格がゲチャバンだが、ジェヌンパルで食べて生きているハンターもあった。 
대표적으로 랭킹 1위 염제가 후자였다.	代表的にランキング1位の炎帝が後者だった。 
인생을 게임으로 비유한다면 염제의 인생은 아마 실력갓흥겜 아닐까? 뭐든지 원하기만 하면 자기 실력으로 얻어버릴 테니.	人生をゲームに比喩するなら、炎帝の人生はたぶん実力ガッフンゲムではないか。 何でも望みさえすれば自分の実力で得てしまうのだ。 
내 인생은··· 그냥 평범한 운빨똥망겜이고.	私の人生は・・・ただの平凡なウンパルトンマンゲームで。 
“우웨에에엑!”	"ウウェエエエク! " 
술집을 나와 얼마나 정처 없이 떠돌았을까.	飲み屋を来てどれほど当てどもなく彷徨ったのだろうか。 
인적 없는 골목길에서 결국 오바이트를 쏟고 말았다.	人影のない路地で結局、オパイトゥをこぼしてしまった。 
“운이 없으려면, 씨···. 아예 없든가.”	"運がないためには、さん・・・。 最初からないか。" 
게임을 하면서 제일 절망스러운 순간이 언제일까.	ゲームをしながら一番絶望的な瞬間がいつだろうか。 
유료 폰게임을 해본 사람이라면 잘 알 거다.	有料携帯ゲームをしてみた人ならよく分かるんだ。 
그 순간이란, 아무리 뽑기를 돌려도 5성이 안 나올 때가 아니라··· 5성이 나와도 하필 제일 쓰레기 같은 5성이 나올 때였다. 3성보다 안 좋은 5성이라거나.	その瞬間とは、いくら選ぶことを回しても5城が出ない時ではなく、・・・5省が出ても、よりによって一番ゴミのような5城が出る時だった。 3省より悪い5城とか。 
심지어 내 5성은 1성짜리보다 못했다.	さらに、内5の姓は1ソンチャリよりできなかった。 
+	+ 
[너처럼 되고 싶다]	[お前のようになりたい] 
랭크: S+	ランク:S+ 
효과: 적에게 죽으면 자동으로 발동. 당신을 죽인 적의 스킬 중 1개를 복사하여, 당신의 것으로 만듭니다. 이미 1번 복사한 상대를 다시 복사할 수는 없습니다. 어떤 스킬을 복사할지는 무작위로 정해집니다.	効果:敵に死ねば自動的に発動。 あなたを殺した敵のスキルのうち1個をコピーして、あなたのものにします。 すでに1度コピーした相手を再びコピーすることはできません。 どんなスキルをコピーするかは、ランダムに決まります。 
※단, 죽습니다!	※ただし、死にます! 
+	+ 
“흑. 젠장···.”	"黒。 畜生・・・。" 
그래. 내 인생은 역시 운빨똥망겜이었다.	そうだよ 私の人生とは、やはりウンパルトンマンゲームだった。 
본래 스킬이 각성하면 헌터관리국에 가서 신고해야 했다. 하지만 나는 신고도 안 했다. 너무 억울해서. 이게 내 스킬이라고 어디 보여주기 쪽팔려서.	本来スキルが覚醒すると、ハンター管理局に行って申告しなければならなかった。 しかし私は申告もしなかった。 とても悔しくて。 これが私のスキルとどりゃ見せてくれること恥ずかしいて。 
-안녕하세요, 헌터님. 어쩌다 스킬을 각성하셨나요?	-こんにちは、ハンター様。 どうしてスキルを覚醒しましたか。 
-랭킹 1위가 부러워서요.	-ランキング1位がうらやましくてです。 
-네?	-はい? 
-부럽고 질투 나서 미칠 것 같더니까 이거나 먹으라는 식으로 스킬이 생기던데요. 제가 역대급으로 질투심이 추한 인간이래요. 하하.	-うらやましく、妬けて及ぶようドニカこれも食べなさいというふうにスキルができましたよ。 私が歴代級に嫉妬心が醜い人間だそうです。 ハハ。 
이렇게 말할 수도 없지 않은가!	こんなにも言えないないか! 
결국 지금처럼 술을 진탕 마시고 외진 골목에서 비틀거릴 뿐.	結局、今のようにお酒を飲み過ぎている路地でよろめいただけ。 
‘···여기가 어디지?’	'・・・ここがどこ? ' 
그런데 나는 그것조차 잘하지 못했다. 어느새 완전히 낯선 골목에 들어와 버린 것이다. 여기가 어디이고 어쩌다 여기까지 왔는지, 기억이 하나도 안 났다.	ところで私はそれさえうまくできなかった。 いつのまにか完全に不慣れな路地に入ってしまったのだ。 ここがどこでどうしてここまできたのか、記憶がまったくつかなかった。 
설마 이러다 골목 바닥에서 자게 되는 걸까.	まさかこの路地の床で寝ることになっているのだろうか。 
‘아. 서럽다.’	'あ。 恨めしい。' 
그렇게 눈물을 집어삼킨 순간.	そんなに涙を呑み込んだ瞬間。 
골목의 저편에서 희미하게 비명이 들려왔다.	路地の彼方でかすかに悲鳴が聞こえてきた。 
“······주세요, 악! 왜 갑자기······!”	"・・・・・・ください、あっ! なぜ急に・・・・・・! " 
잠기운이 확 달아났다. 막걸리에 취해서 헛것을 들었다기엔 지나치게 생생한 목소리. 누군지 몰라도 진짜로 목숨이 위협받아 터지는 비명이었다.	ジャムキウンが完全に逃げた。 マッコリに酔って幻影を聞いたというはあまりにも生の声。 誰か知らなくても、本当に命が脅かされて爆発する叫び声だった。 
‘뭐야?’	'何? ' 
나는 발소리를 죽였다. 숨소리도 본능적으로 죽였다. 한 걸음. 한 걸음. 비명이 들려온 골목을 향해서 조용히 걸어갔다. 다가갈수록 목소리가 생생해졌다.	私は足音を殺した。 息の音も本能的に殺した。 一歩。 一歩。 悲鳴が聞こえてきた路地に向けて静かに歩いた。 近づくほど、声が鮮やかになった。 
이것이.	これが。 
“여, 염제님. 갑자기 저한테 왜···.”	"女、炎帝様。 急に私にどうして・・・。" 
“···해도 소용없어. 어차피 이 근처엔 아무도···.”	"・・・言っても無駄だ。 どうせこの近くには誰も・・・。" 
이것이, 내가 오늘 두 번째로 저지른 멍청한 짓거리였다.	これが、私が今日二番目に犯した愚かな振る舞いだった。 
첫 번째 실수는··· 당연하지만 정신의 퓨즈가 고장날 정도로 술을 마신 것. 나는 평생을 통틀어도 만취한 적이 없었다. 다만 이날만은 예외였다. 마침내 얻은 스킬이 S급짜리 똥이라는 것에 분노하여 막걸리를 물처럼 퍼마시고 말았다.	最初のミスは・・・当然だが、精神のヒューズが故障するほど酒を飲んだ。 私は一生を合わせても泥酔したことがなかった。 ただ、この日だけは例外だった。 ついに得たスキルがS級さつの糞ということに憤り、マッコリを水のようにポマシてしまった。 
두 번째 실수는, 비명이 들리자마자 도망치지 않은 것.	二番目のミスは、悲鳴が聞こえとすぐに逃げなかったもの。 
“네가 마신 술잔에 미리 독을 발라놨다.”	"君が飲んだ杯に前もって毒を塗っておいた。" 
“도, 독이라니요? 아까부터 무슨 말씀이에요, 염제님?”	"道、毒だって? さっきから何のお話です、炎帝様? " 
“야아. 연기 좋네. 누가 보면 진짜 모르는 줄 알겠어.”	"いやあ。 演技いいね。 誰かが見たら本当に知らないと思ってるよ。" 
막다른 골목 안쪽.	袋小路の内側。 
